"Proceso","Carpeta","Documento","Ruta","Fecha"
"CX","1. Publico",,"C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\CX\1. Publico",
"CX","2. Interno/Procedimiento",,"C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\CX\2. Interno\Procedimiento",
"CX","2. Interno/Registros",,"C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\CX\2. Interno\Registros",
"CX","3. Restringido",,"C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\CX\3. Restringido",
"CX","4. Confidencial",,"C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\CX\4. Confidencial",
"Delivery","Caracterización",,"C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Delivery\Caracterización",
"Delivery","Formatos","DEL-FOR-01 V01 Checklist PreKickoff Delivery-Preventa.xlsx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Delivery\Formatos\DEL-FOR-01 V01 Checklist PreKickoff Delivery-Preventa.xlsx","2026-01-07"
"Delivery","Formatos","DEL-FOR-02 V01Documento Diseño de la Solucion SDD.docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Delivery\Formatos\DEL-FOR-02 V01Documento Diseño de la Solucion SDD.docx","2025-12-19"
"Delivery","Formatos","DEL-FOR-03 V01 ATP (ACCEPTANCE TEST PROCEDURE).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Delivery\Formatos\DEL-FOR-03 V01 ATP (ACCEPTANCE TEST PROCEDURE).docx","2025-12-19"
"Delivery","Formatos","DEL-FOR-04.V1 Checklist Entrega Delivery-Soporte.xlsx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Delivery\Formatos\DEL-FOR-04.V1 Checklist Entrega Delivery-Soporte.xlsx","2026-01-07"
"Delivery","Formatos","DEL-FOR-05 V01 Minutograma Actividad.xlsx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Delivery\Formatos\DEL-FOR-05 V01 Minutograma Actividad.xlsx","2026-01-07"
"Delivery","Procedimientos","DEL-PRO-01. V01 Procedimiento del Proceso de Delivery.docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Delivery\Procedimientos\DEL-PRO-01. V01 Procedimiento del Proceso de Delivery.docx","2026-01-07"
"Proyectos","1. Publico",,"C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\1. Publico",
"Proyectos","2. Interno/Caracterización","SGI-FOR-46 V01 Caracterización del Proceso - Operaciones - Proyectos.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\2. Interno\Caracterización\SGI-FOR-46 V01 Caracterización del Proceso - Operaciones - Proyectos.pdf","2025-10-21"
"Proyectos","2. Interno/Formatos","OPE-FOR-01.V02 Diseño de bajo nivel LLD.docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\2. Interno\Formatos\OPE-FOR-01.V02 Diseño de bajo nivel LLD.docx","2026-03-13"
"Proyectos","2. Interno/Formatos","OPE-FOR-02.V02 ATP (ACCEPTANCE TEST PROCEDURE).docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\2. Interno\Formatos\OPE-FOR-02.V02 ATP (ACCEPTANCE TEST PROCEDURE).docx","2024-08-30"
"Proyectos","2. Interno/Formatos","OPE-FOR-03. V03 Certificación de experiencia.docx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\2. Interno\Formatos\OPE-FOR-03. V03 Certificación de experiencia.docx","2025-08-12"
"Proyectos","2. Interno/Formatos","OPE-FOR-08.V04 Acta de Entrega Proyectos a Servicios.xlsm","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\2. Interno\Formatos\OPE-FOR-08.V04 Acta de Entrega Proyectos a Servicios.xlsm","2026-03-13"
"Proyectos","2. Interno/Formatos","OPE-FOR-09.V02 Control de consecutivos proyectos.xlsx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\2. Interno\Formatos\OPE-FOR-09.V02 Control de consecutivos proyectos.xlsx","2024-08-30"
"Proyectos","2. Interno/Formatos","OPE-FOR-10 V01 Bitácora del proyecto.xlsx","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\2. Interno\Formatos\OPE-FOR-10 V01 Bitácora del proyecto.xlsx","2026-05-05"
"Proyectos","2. Interno/Instructivo","OPE-INS-01 V01 INSTRUCTIVO GESTIÓN DOCUMENTAL DE RECECPIÓN DE OPORTUNIDADES EN OPERACIONES.pdf","C:\Users\samirna.beltran\VELATIA\Sistemas de Gestión Integrados (SGI) Colombia - Documentos\Operaciones\Proyectos\2. Interno\Instructivo\OPE-INS-01 V01 INSTRUCTIVO GESTIÓN DOCUMENTAL DE RECECPIÓN DE OPORTUNIDADES EN OPERACIONES.pdf","2026-01-13"
